ENA_SAMPLE_ACCESSION;ENA_ALIAS;ENA_RUN_ACCESSION;REPLICA;COLLECTION_DATE;COMPLETE_NAME;COUNTRY;CITY;LATITUDE;LONGITUDE;PLANT;SAMPLING TYPE;SEWAGE TYPE;;;;;;;;;;;;;
ERS17759465;1007196;ERR12510691;1;2020-01-14;DTU_2020_1007196_1_MG_RA_CPH_Sewage_621;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759464;1007210;ERR12510705;1;2020-02-19;DTU_2020_1007210_1_MG_RA_CPH_Sewage_635;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759463;1007273;ERR12510788;2;2020-08-27;DTU_2020_1007273_2_MG_RA_CPH_Sewage_741;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759463;1007273;ERR12510787;1;2020-08-27;DTU_2020_1007273_1_MG_RA_CPH_Sewage_741;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759462;1007256;ERR12510766;1;2020-07-14;DTU_2020_1007256_1_MG_RA_CPH_Sewage_717;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759461;1007184;ERR12510673;2;2019-11-24;DTU_2020_1007184_2_MG_RA_CPH_Sewage_606;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759461;1007184;ERR12510672;1;2019-11-24;DTU_2020_1007184_1_MG_RA_CPH_Sewage_606;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759460;1007193;ERR12510688;2;2020-01-07;DTU_2020_1007193_2_MG_RA_CPH_Sewage_618;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759460;1007193;ERR12510687;1;2020-01-07;DTU_2020_1007193_1_MG_RA_CPH_Sewage_618;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759459;1007178;ERR12510661;1;2019-11-11;DTU_2020_1007178_1_MG_RA_CPH_Sewage_600;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759458;1007268;ERR12510779;1;2020-08-12;DTU_2020_1007268_1_MG_RA_CPH_Sewage_732;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759431;1007181;ERR12510666;1;2019-11-17;DTU_2020_1007181_1_MG_RA_CPH_Sewage_603;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759431;1007181;ERR12510667;2;2019-11-17;DTU_2020_1007181_2_MG_RA_CPH_Sewage_603;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759430;1007213;ERR12510708;1;2020-04-02;DTU_2020_1007213_1_MG_RA_CPH_Sewage_638;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759429;1007231;ERR12510735;1;2020-05-05;DTU_2020_1007231_1_MG_RA_CPH_Sewage_663;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759428;1007228;ERR12510730;1;2020-04-27;DTU_2020_1007228_1_MG_RA_CPH_Sewage_655;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759427;1014215;ERR12510869;1;2021-11-03;DTU_2022_1014215_1_MG_NL_RO_211103_GSL_1141;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759426;1014213;ERR12510868;1;2021-10-20;DTU_2022_1014213_1_MG_NL_RO_211020_GSL_1139;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759425;1014211;ERR12510867;1;2021-10-07;DTU_2022_1014211_1_MG_NL_RO_211007_GSL_1137;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759424;1014210;ERR12510866;1;2021-09-29;DTU_2022_1014210_1_MG_NL_RO_210929_GSL_1136;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759423;1014209;ERR12510865;1;2021-09-22;DTU_2022_1014209_1_MG_NL_RO_210922_GSL_1135;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759422;1014208;ERR12510864;1;2021-08-30;DTU_2022_1014208_1_MG_NL_RO_210830_GSL_1134;Netherlands;Rotterdam;51,9244;4,4777;Dokhaven;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759483;1007225;ERR12510727;1;2020-03-26;DTU_2020_1007225_1_MG_RD_CPH_Sewage_652;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759482;1007217;ERR12510715;1;2020-03-05;DTU_2020_1007217_1_MG_RD_CPH_Sewage_643;Denmark;Copenhagen;55,6956;12,6139;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759481;1007182;ERR12510668;1;2019-11-17;DTU_2020_1007182_1_MG_RD_CPH_Sewage_604;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
